colobus,"n.[动](非洲产)疣猴,髯猴(亦作 colobus monkey)"
colugo,n.[动]猫猴
columba,"n.[动]鸽属,[天]天鸽座"
comatulid,"n.[动]放射状海百合,海羊齿"
condor,"n.[动]秃鹰,秃鹫"
coon,"n.[动]浣熊,无可救药者,<蔑>黑人"
copepod,n.[动]桡脚类的动物adj.桡脚类动物的
corsac,n.[动]沙狐(产于中亚的一种小狐)
costa,"n.[解]肋,[植]缘,中脉,[动]前缘脉"
costal,"adj.[解]肋的,[动]前腺脉的"
cottonmouth,"n.[动]棉口蛇,水腹蛇(=water moccasin产于南美的一种毒蛇)"
cottontail,n.[动]棉尾兔(一种产于北美洲的野兔)
cotype,n.[植][动]全模(式)标本
cougar,n.[动]美洲狮(尤指Felis concolor)
countershading,"n.[动]反荫蔽(动物保护色的一种类型 这类动物背部颜色深于腹部,上面投下的光线使它全身颜色均匀而不醒目)"
courlan,n.[动] 库隆鸟(产于中南美洲)
cowbird,n.[动]北美产的燕八哥
cowrie,"n.[动]宝贝科宝贝,(从前南亚和非洲部分地区作货币用的)货贝"
coydog,n.[动]科伊狗(丛林狼和野狗的杂交后代)
crampfish,n.[动]电鱼
crappie,n.[动]刺盖太阳鱼属(Pomoxis)鱼
crawfish,n.[动] 小龙虾
cribo,"n.[动]森王蛇(一种无毒大蛇,产于热带美洲及西印度群岛,能杀伤毒蛇)"
cricetid,n.&adj.[动]仓鼠(的)
crista,"n.[解][动]羽冠,脊"
crossbill,n.[动]交喙鸟
crossopterygian,n.[动]总鳍组鱼adj.[动]总鳍组鱼的
crustacea,"n.[动]甲壳纲动物 a,甲壳纲的"
crustaceology,n.[动]甲壳类动物学
cryptozoic,"n.[地质]前寒武纪adj.[地质]前寒武纪的,[动]生于偏僻地区的"
ctenophora,n.[动]栉水母类
ctenophoran,adj.[动]栉水母的
cuckoo,"n.[动]杜鹃鸟,布谷鸟"
culex,n.[动]库蚊属(Culex)蚊子(常见于北美、欧洲)
culver,n.[动]斑鸠
curassow,n.[动](南美和中美洲所产)大鸟
cuticula,n.[动]角质层 (昆虫等的)表皮[见CUTICLE]
cuttlefish,"n.[动]墨鱼,乌贼"
cutworm,"n.[动]夜蛾科,毛虫"
cynomolgus,n.[动]猕猴 食蟹猴
cysticercoid,"n.[动]拟囊状幼虫,类似囊尾蚴之虫adj.类似囊尾蚴的"
cysticercus,n.[动]囊状幼虫
cystoflagellata,n.[动]囊状鞭毛虫类
